TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON_ID,SEASON_TYPE,POSS,OFF_RATING_CUSTOM,NET_RATING,AST_PER_100,REB_PER_100,TOV_PER_100,BLK_PER_100
1610612737,Atlanta Hawks,5,1,4,0.2,240.0,172,391,0.44,57,175,0.326,86,110,0.782,43,154,197,93,82.0,29,12,15,108,117,487,-60.0,13,13,1,13,13,15,15,13,11,13,12,14,14,10,13,14,15,15,5,15,16,2,3,13,14,15,2021-22,Playoffs,459.264,106.03922798216276,-13.064381270903011,20.249790969899664,42.89471850613155,17.854654403567448,2.612876254180602
1610612750,Minnesota Timberwolves,6,2,4,0.333,288.0,218,492,0.443,83,214,0.388,136,168,0.81,42,198,240,137,106.0,49,47,37,161,139,655,-33.0,9,9,1,9,10,11,11,11,9,9,2,9,10,4,14,10,11,9,8,9,9,8,8,9,10,11,2021-22,Playoffs,604.7231999999999,108.31401871137076,-5.457042164084329,22.654993226653122,39.687579375158755,17.528680890695117,7.772150960968589
1610612740,New Orleans Pelicans,6,2,4,0.333,288.0,234,506,0.462,56,158,0.354,135,173,0.78,91,183,274,128,87.0,38,21,24,127,136,659,-9.0,9,9,1,9,10,9,10,6,12,14,10,10,9,11,9,11,9,10,7,12,13,4,5,11,9,8,2021-22,Playoffs,554.9952,118.7397656772527,-1.621635646578565,23.06326252911737,49.36979635139187,15.675811250259464,3.7838165086833184
1610612749,Milwaukee Bucks,5,1,4,0.2,1225.0,220,463,0.4751619870410367,78,206,0.3786407766990291,76,107,0.7102803738317757,51,171,222,134,72.0,33,18,0,94,0,594,-26.0,12,12,1,12,12,12,12,4,11,12,2,14,13,16,13,12,12,12,4,13,15,1,2,1,12,10,2022-23,Playoffs,509.8368,116.50787075393536,-5.099671110441617,26.282920338429864,43.54334563530918,14.122166151992168,3.530541537998042
1610612756,Phoenix Suns,11,6,5,0.5454545454545454,2640.0,474,955,0.4963350785340314,103,284,0.3626760563380282,205,257,0.7976653696498055,101,339,440,270,133.0,69,62,0,242,0,1256,-25.0,6,6,11,5,7,6,6,1,8,8,6,6,6,9,8,8,8,6,9,8,5,1,11,1,6,9,2022-23,Playoffs,1056.0767999999998,118.93074443070807,-2.3672520786367057,25.56632244927642,41.66363658400602,12.593781058347272,5.87078515501903
1610612755,Philadelphia 76ers,11,7,4,0.6363636363636364,2665.0,404,924,0.4372294372294372,134,373,0.3592493297587131,186,210,0.8857142857142857,110,363,473,210,136.0,84,58,0,206,0,1128,-17.0,6,5,1,2,6,7,7,13,6,6,8,8,8,1,7,6,7,7,10,6,7,1,9,1,7,8,2022-23,Playoffs,1000.704,112.720644666155,-1.698804041954464,20.985226400613968,47.266724226144795,13.590432335635713,5.795919672550524
1610612752,New York Knicks,11,6,5,0.5454545454545454,2640.0,388,896,0.4330357142857143,105,360,0.2916666666666667,220,295,0.7457627118644068,142,357,499,206,161.0,77,49,0,214,0,1101,4.0,6,6,11,5,7,8,8,14,7,7,16,5,5,13,6,7,6,8,11,7,8,1,10,1,8,5,2022-23,Playoffs,1003.008,109.76981240428792,0.3988004083716181,20.538221031138335,49.75035094435937,16.05171643695763,4.885305002552323
1610612743,Denver Nuggets,20,16,4,0.8,4825.0,845,1719,0.491564863292612,225,600,0.375,354,442,0.8009049773755657,201,694,895,515,232.0,137,84,0,385,0,2269,166.0,2,1,1,1,2,2,2,2,3,3,3,2,2,8,2,2,2,2,14,2,3,1,15,1,2,1,2022-23,Playoffs,1866.7008,121.55134877533668,8.89269453358567,27.58878123371458,47.94555185276612,12.428344167420939,4.49991771579034
1610612751,Brooklyn Nets,4,0,4,0.0,960.0,136,309,0.4401294498381877,45,138,0.3260869565217391,53,73,0.726027397260274,23,117,140,89,49.0,21,15,0,62,0,370,-45.0,16,16,1,16,16,16,16,12,16,16,13,16,16,15,16,16,16,16,1,16,16,1,1,1,16,15,2022-23,Playoffs,352.4352,104.98383816372484,-12.768304641534103,25.252869179923003,39.72361444032832,13.903265054114913,4.256101547178035
1610612750,Minnesota Timberwolves,5,1,4,0.2,1225.0,189,413,0.4576271186440678,56,161,0.3478260869565217,93,121,0.768595041322314,42,154,196,113,64.0,33,24,0,108,0,527,-44.0,12,12,1,12,12,14,14,8,14,14,9,12,11,10,15,13,14,13,2,13,11,1,5,1,14,14,2022-23,Playoffs,468.7104,112.436165273909,-9.38745971926375,24.10870336992736,41.816866022174885,13.654486864383635,5.120432574143863
1610612748,Miami Heat,23,13,10,0.5652173913043478,5545.0,914,1997,0.457686529794692,294,774,0.3798449612403101,370,455,0.8131868131868132,212,714,926,542,269.0,161,82,0,462,0,2492,35.0,1,2,16,3,1,1,1,7,1,1,1,1,1,5,1,1,1,1,16,1,4,1,16,1,1,4,2022-23,Playoffs,2164.032,115.1554135983202,1.6173513145831482,25.045840357259042,42.79049478011415,12.430500103510484,3.789223079880519
1610612738,Boston Celtics,20,11,9,0.55,4825.0,817,1710,0.4777777777777778,281,773,0.3635187580853816,324,400,0.81,189,672,861,483,248.0,120,127,0,343,0,2239,67.0,2,3,15,4,2,3,3,3,2,2,5,3,3,6,3,3,3,3,15,3,1,1,14,1,3,2,2022-23,Playoffs,1867.2,119.91216795201372,3.5882604970008565,25.867609254498714,46.11182519280205,13.281919451585262,6.801628106255356
1610612746,LA Clippers,5,1,4,0.2,1200.0,204,443,0.4604966139954853,61,169,0.3609467455621302,109,132,0.8257575757575758,59,141,200,108,70.0,33,21,0,115,0,578,-32.0,12,12,1,12,14,13,13,6,13,13,7,10,10,3,12,14,13,15,3,13,12,1,6,1,13,12,2022-23,Playoffs,491.5968,117.57602978701244,-6.509399572983389,21.969223558818936,40.68374733114617,14.239311565901161,4.271793469770349
